,unique_id,title,description,price,Cluster ID
0,1,Linksys EtherFast EZXS88W Ethernet Switch - EZXS88W,Linksys EtherFast 8-Port 10/100 Switch (New/Workgroup),,105
1,2,Linksys EtherFast EZXS55W Ethernet Switch,5 x 10/100Base-TX LAN,,105
2,3,Netgear ProSafe FS105 Ethernet Switch - FS105NA,NETGEAR FS105 Prosafe 5 Port 10/100 Desktop Switch,,102
3,4,Belkin Pro Series High Integrity VGA/SVGA Monitor Extension Cable - F3H982-10,1 x HD-15 - 1 x HD-15 - 10ft - Beige,,91
4,5,Netgear ProSafe JFS516 Ethernet Switch,Netgear ProSafe 16 Port 10/100 Rackmount Switch- JFS516NA,,102
5,6,LaCie Pocket Floppy Disk Drive - 706018,LaCie Pocket USB Floppy 1.44 MB,,-1
6,7,Canon KP 36IP Print Cartridge / Paper Kit - 7737A001,36 Page 4' x 6',$9.99,149
7,8,Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327,"Optical - USB, PS/2",,-1
8,9,Linksys EtherFast EF4116 Ethernet Switch,16 x 10/100Base-TX LAN,,105
9,10,Linksys EtherFast EF4124 Ethernet Switch,24 x 10/100Base-TX LAN,$64.99,105
10,11,Linksys Instant Gigabit EG005W Ethernet Switch,Linksys EG005W Gigabit 5-Port Workgroup Switch,,-1
11,12,Linksys G Wireless-G WET54G Wireless Bridge,54Mbps - 1 x 10/100Base-TX,,108
12,13,Tripp Lite PowerVerter 375-Watt Ultra-Compact Inverter - PV375,Input Voltage:12V DC - Output Voltage:120V AC - 375W Pulse-width Modulated Sine Wave,,29
13,14,Netgear ProSafe GS105 Ethernet Switch - GS105NA,NETGEAR ProSafe 5 Port Gigabit Desktop Switch,,102
14,15,Belkin Monitor Cable - F3H982-25,1 x HD-15 - 1 x HD-15 - 25ft - Black,$15.98,91
15,16,Logitech Driving Force Pro for PlayStation 2 - 963293-0403,,,-1
16,17,Belkin AC Anywhere 300W Power Inverter - F5C400-300W,Input Voltage:12V DC - Output Voltage:110V AC - 300W Stepped Sine Wave,,-1
17,18,Linksys Wireless-G Range Expander Wireless Bridge - WRE54G,54Mbps,,108
18,19,Sony VAIO Notebook and AC Adapter Case - VGPAMC2,VAIO NEOPRENE NOTEBOOK & AC ADAPTER CASE UP TO 17 IN LCD,,200
19,20,D-Link Express EtherNetwork High-Speed DOCSIS 2.0 Cable Modem - DCM-202,D-Link Broadband Cable Modem,,-1
20,21,Sony Notebook and AC Adapter Cases - VGPAMC3,Clam Shell - Neoprene,$12.99,200
21,22,Panasonic Black Toner Cartridge - KX-FA83,"Panasonic Toner Cartridge for the KX-FL511, KX-FL541, KX-FL611 and KX-FLM651 Series",,-1
22,23,Logitech Z-2300 Multimedia Speaker System - 970118-0403,2.1-channel,,-1
23,24,Sony High Definition Mini DV Cassette - DSL-190-B,Sony DVM-63 HD High-Definition miniDV Videocassette,,-1
24,25,Netgear ProSafe WG102 Wireless Access Point 802.11g - WG102NA,NETGEAR Prosafe 802.11g Wireless Access Point,,101
25,26,Netgear RangeMax WPN802 Wireless Access Point - WPN802NA,108Mbps,,101
26,27,Netgear ProSafe FS726TP 24 Port 10/100 Smart Switch - FS726TPNA,"24 x 10/100Base-TX LAN, 2 x 10/100/1000Base-T",,102
27,28,PlayStation 2 Memory Card 8MB,,,109
28,29,SONY 7-11719-70670-0 PS2 8 MB Memory Card 2-pk - 97067,,,-1
29,30,PlayStation 2 DUALSHOCK Analog Controller - Green,,,14
30,31,PlayStation 2 DVD Remote - 97076,,,-1
31,32,Sennheiser Nickel metal hydride Battery for Headsets - BA-151,Nickel-Metal Hydride (NiMH) - 2.4V DC - Headset Battery,$14.34,-1
32,33,Sony MiniDV Head Cleaner - DVM12CLD,Head Cleaner,$7.95,-1
33,34,Sony SB-V40S A/V Selector - SBV40S,"VCR, Camcorder, AV Receiver, Video Game Console, TV, Laser Disc Player, DVD Player Compatible - 4 x S-Video In, 4 x Composite Video In, 4 x Stereo Audio Line In, 1 x S-Video Out, 1 x Composite Video Out, 1 x Stereo A",,-1
34,35,Panasonic KX-TS108W Corded Phone,1 x Phone Line(s) - White,,40
35,36,Panasonic KX-TS208W Corded Phone,2 x Phone Line(s) - Headset - White,,40
36,37,Garmin Canvas Deluxe Carry Case - 010-10231-01,Top Loading - Handle - Nylon - Black,$17.45,-1
37,38,Sony h.ear Stereo Earphones - MDRJ10/BLUE,,$12.38,-1
38,39,BELKIN PRO SERIES USB DEVICE CABLE 16 - F3U133-16,,$12.21,-1
39,40,OmniMount Universal Wall Speaker Mounting Kit - 20.0 WALL-B,Stainless Steel - 20 lb,$24.34,190
40,41,OmniMount Stainless Steel Speaker Mount - 20.0 WALL-W,Stainless Steel - 20 lb,,190
41,42,Sanus Euro Foundation Series III Speaker Stand - EFSATSIII,Steel - Silver,,22
42,43,Peerless Adjustable TV Wall Mount - PM1327,,,-1
43,44,Sanus Euro Foundation Series III Speaker Stand - EFSATBKIII,Steel - Black,,22
44,45,Panasonic KX-TCA86 Headset,Over-the-head,$11.03,-1
45,46,Sony VCT-R640 Tripod - VCTR640,Floor Standing Tripod - 21.62' to 56.75' Height - 6.61 lb Load Capacity - Black,,201
46,47,Sanus Flat Panel TV Wall Mount - VMF,Steel - 50 lb,,195
47,48,Sanus Speaker Mount - WMS3B BLACK,Plastic - 8 lb,,198
48,49,Sanus Wall/Ceiling Speaker Mount - WMS3S SILVER,Plastic - 8 lb,,-1
49,50,Sony Mini DVD-R Media - 3DMR30L1H,1.4GB - 3 Pack,$6.99,50
50,51,Panasonic KX-TS3282B Corded Phone,2 x Phone Line(s) - Headset - Black,,40
51,52,Sennheiser RS 120 Wireless Hi-fi Headphone - RS120,,,57
52,53,Sanus Flat Panel TV Wall Mount - VMPL50-B,Steel - 130 lb,,195
53,54,Sony PS-LX350H Belt-Drive Turntable,,,-1
54,55,Sony STR-DE197 - AV Receiver - 100 Watts per Channel,,$122.43,-1
55,56,Sanus Television Turntable - TV/LCDS,150 lb,,-1
56,57,Panasonic KX-TCA92 Headset,Over-the-head,$18.42,-1
57,58,Panasonic KX-TSC14B Corded Telephone,2 x Phone Line(s) - Headset - Black,,49
58,59,Sony CDP-CX355 300 Disc MegaStorage CD Changer,,$169.13,217
59,60,Sanus Flat Panel TV Wall Mount - VM1B,Aluminum - 50 lb,$69.99,195
60,61,Canon NB-2LH Battery Pack - 9612A001,Lithium Ion (Li-Ion) - Photo Battery,,207
61,62,Olympus B-90SU AA/AAA Size Battery Charger - 200899,,,-1
62,63,Sony CDX-565MXRF 10-Disc CD/MP3 Changer,,$134.12,-1
63,64,OmniMount TV Top Shelf Mount,OmniMount CCH1B Set-Top Center-Channel Shelf,$21.49,163
64,65,Canon NB-4L Rechargeable Camera Battery - 9763A001,Canon NB-4L Lithium Ion Battery,$36.89,207
65,66,Panasonic 3x DVD-RAM Media,Panasonic LM-AF120LU5 Rewritable DVD-RAM Disc without Cartridge,,50
66,67,Canon CB-2LV Battery Charger - 9764A001,for NB-4L,,59
67,68,Canon EF-S 17-85MM f/4-5.6 IS USM Standard Zoom Lens,Canon 9517A002 EF-S 17-85mm f4-5.6 IS USM Standard Zoom Lens with Optical Image Stabilizer,$515.00,127
68,69,Sennheiser RS 140 Wireless RF Headphone - RS-140,"- Black, Silver",$144.97,57
69,70,Sennheiser RS 130 Wireless Headphone - RS130,,$144.95,57
70,1077,Sony Fontopia Earbuds - MDREX81LPB,Sony MDR-EX81LP/B Stereo Earphones - Black,$34.88,-1
71,71,Sanus VisionMount Flat Panel TV Wall Mount - VMPL3B,Steel - 280 lb,$144.05,195
72,72,Sanus Flat Panel TV Wall Mount - VM400S,"Steel, Aluminum - 80 lb",,195
73,73,Sanus Under Cabinet LCD TV Mount - VMUC1S,15 lb,,-1
74,74,Sanus Flat Panel TV Wall Mount - VM400B,"Steel, Aluminum - 80 lb",,195
75,75,Sanus Universal Projector Ceiling Mount - VMPR1B,50 lb,,-1
76,76,Weber 848001 Performer 22.5' Charcoal Grill in Dark Blue,,,83
77,77,Weber 841001 Performer 22.5' Charcoal Grill in Black,,,83
78,1078,Plantronics Voyager 510 Bluetooth Earset,Plantronics Voyager510 Bluetooth Headset,,93
79,78,OmniMount TV Top Shelf Mount - CCH1P,Steel - 30 lb,,163
80,79,Sony LCS Soft Carrying Case - LCSCST,Sony LCS-CST Soft Carrying Case for Ultra-Compact Digital Cameras,$9.95,260
81,80,Linksys WRV54G Wireless-G VPN Broadband Router,,,112
82,81,Kingdom Hearts II,,$19.99,-1
83,82,Canon CLI-8M Ink Cartridge - 0622B002,Magenta,$10.35,158
84,83,"Canon Ink Cartridge For PIXMA iP1600, iP6210D and iP6220D Printers - 0617B002",Color,$19.11,154
85,84,"Canon Ink Cartridge For PIXMA iP4200, iP5200, iP5200R and iP6600D Printers - 0620B002",Black,$13.99,-1
86,85,Canon CLI-8C Ink Cartridge - 0621B002,Cyan,$13.99,158
87,86,Canon CLI-8Y Ink Cartridge - 0623B002,Yellow,$13.99,158
88,87,Canon Black Ink Cartridge - 0615B002,Black,,158
89,88,Canon PGI-5BK Black Ink Cartridge - 0628B002,Canon PGI-5 Pigment Black Ink Cartridge for Canon ContrastPLUS Photo Printers,$14.99,-1
90,89,Peerless Universal Flat Wall Mount - SF640P,Peerless Flat Wall Mount for 23'- 46' LCD Screens - Black,,193
91,90,Netgear ProSafe FS116P Ethernet Switch - FS116PNA,16 x 10/100Base-TX LAN,,102
92,91,Peerless Universal Tilt Wall Mount,Peerless Smart Mount ST660P Universal Tilt Wall Mount for 37' to 60' Screens (Black) up to 200lbs,,193
93,92,Netgear ProSafe JGS524F 24-Port Gigabit Ethernet Switch - JGS524FNA,Netgear ProSafe JGS544F - 24 Port Gigabit Rackmount Switch with 2 Gigabit Slots,,102
94,93,Tripp Lite Video Cable - P502-025,1 x HD-15 - 1 x HD-15 - 25ft - Black,,29
95,94,Logitech diNovo Media Desktop Laser - 967562-0403,Keyboard - Wireless - Mouse - Laser - Type A - USB - Receiver,,43
96,1079,Logitech Cordless Desktop MX 5000 Laser - 967562-0403,Keyboard - Wireless - 104 Keys - Mouse - Laser - Type A - USB - Receiver,,43
97,95,Canon CLI-8PC Photo Cyan Ink Cartridge - 0624B002,Photo Cyan,$13.99,165
98,96,Canon CLI-8PM Photo Magenta Ink Cartridge - 0625B002,Photo Magenta,$13.99,166
99,97,"Canon CL-51 High Capacity Color Ink Cartridge For PIXMA MP450, PIXMA iP6210D and PIXMA iP6220D Printers - 0618B002",Color,,154
100,98,Canon PG-50 High Capacity Black Ink Cartridge For PIXMA MP450 Printer - 0616B002,Black,,-1
101,99,Canon CL-52 Photo Ink Cartridge For PIXMA iP6210D and PIXMA iP6220D Printers - 0619B002,Color,$18.16,154
102,100,"DeLonghi DC50B Twenty Four Seven Drip Coffee Maker, Black",,$22.95,88
103,101,Panasonic DVD-RAM Media - LM-AF30U3,1.4GB - 3 Pack,$6.22,50
104,102,Belkin Hi-Speed USB 2.0 7-Port Hub - F5U237-APL-S,USB 2.0 7-PORT HUB/APPLE #TB857LL/A,,-1
105,103,Canon EF 70-300mm f/4-5.6 IS USM Telephoto Zoom Lens - 0345B002,f/4 to 5.6,$549.00,127
106,104,Universal Aeros IR/RF Remote Control - MX850,"TV, DVD Player, Audio Receivers, Cable Box, Satellite Receiver, PVR (Personal Video Recorder) - 100 ft - Universal Remote",$256.99,201
107,105,Universal MX-350 Osiris Remote Control - MX350,"TV, VCR, DVD Player, CD Player, Cable Box, Satellite Receiver, DVR, Audio Receivers - 100 ft - Universal Remote",$93.90,-1
108,106,Panasonic NN-H965BF Microwave Oven - Counter Top - 2.2ft - 1250W - Black,,,-1
109,107,Panasonic NN-H965WF Luxury Full-Size 2-1/5-Cubic-Foot 1250-Watt Microwave Oven- White,,,-1
110,108,Linksys Wireless-G WRT54GL Broadband Router,Linksys WRT54GL Wireless-G Broadband Router,,112
111,109,Audiovox XM6 Outdoor Home Antenna - XM-6,,,180
112,110,Nikon Speedlight SB-600 AF Flash Light - 4802,"i-TTL, TTL, D-TTL, Manual - 65.6ft Range",$189.72,21
113,111,Sony Memory Stick Duo Replacement Adapter - MSACM2,Memory Stick Adapter - Memory Stick Duo,$19.48,162
114,112,Kensington MicroSaver Notebook Lock - 64068F,Steel - 6ft,,2
115,113,Linksys Wireless-G WUSB54GC Compact USB Adapter,,,-1
116,114,Sirius Outdoor Home Antenna - 14240,42 dBi - SMB,,180
117,115,Sony Ribbon and Paper with Snap-Off Edges For DPP-FP50 Digital Photo Printer - SVMF120P,"Ribbon, Sheet",,-1
118,116,Audiovox XMH10 Home Docking Kit,XM Satellite Radio Receiver,,186
119,117,Audiovox XMFM1 Switch Box,XM Satellite Radio,$15.49,-1
